Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,BillboardHit,artist_score
0.5660000000000001,0.919,9.0,-6.593,0.0,0.469,0.0034200000000000003,0.000101,0.674,0.0683,128.136,0,0
0.564,0.868,1.0,-6.501,1.0,0.0789,0.000126,0.625,0.37,0.0953,142.014,0,0
0.578,0.5670000000000001,10.0,-8.425,0.0,0.0491,1.7899999999999998e-05,0.899,0.101,0.165,130.012,0,0
0.423,0.746,9.0,-9.343,1.0,0.0316,5.460000000000001e-05,0.755,0.0838,0.722,121.257,0,0
0.425,0.8809999999999999,5.0,-6.051,0.0,0.0472,0.000408,0.0,0.094,0.191,110.305,0,0
0.545,0.813,7.0,-7.836,1.0,0.0748,0.012,0.37,0.096,0.777,93.0,0,0
0.795,0.677,7.0,-8.292,0.0,0.0631,0.047,3.74e-05,0.0325,0.922,108.371,0,0
0.34600000000000003,0.13,4.0,-19.588,0.0,0.0356,0.94,0.952,0.111,0.0392,110.391,0,0
0.87,0.392,2.0,-9.123,1.0,0.0644,0.007559999999999998,0.29600000000000004,0.13699999999999998,0.573,115.591,0,0
0.5660000000000001,0.174,0.0,-15.999,1.0,0.0336,0.688,0.919,0.14300000000000002,0.18600000000000005,99.972,0,0
0.726,0.8740000000000001,0.0,-7.029,1.0,0.0311,0.0203,0.44,0.0832,0.688,133.049,0,0
0.6509999999999999,0.858,1.0,-3.182,1.0,0.279,0.0817,0.0,0.0751,0.799,83.84899999999998,0,0
0.345,0.116,3.0,-12.991,1.0,0.0374,0.81,0.0,0.113,0.287,178.047,0,0
0.797,0.5820000000000001,0.0,-12.375,1.0,0.0512,0.007890000000000001,0.92,0.0926,0.209,125.01,0,0
0.736,0.688,5.0,-6.316,0.0,0.0369,0.0486,4e-06,0.092,0.5529999999999999,119.935,0,0
0.338,0.285,9.0,-12.069,1.0,0.0279,0.72,1.46e-05,0.0969,0.22,83.309,0,0
0.682,0.6890000000000001,2.0,-13.943,1.0,0.0492,0.0134,0.6659999999999999,0.28,0.613,101.508,0,0
0.746,0.377,2.0,-13.886,1.0,0.0265,0.72,0.0,0.0476,0.68,105.051,0,0
0.81,0.753,9.0,-9.847,0.0,0.0529,0.000102,0.91,0.0792,0.269,126.0,0,0
0.406,0.275,2.0,-9.455,1.0,0.0335,0.994,0.0788,0.12,0.466,140.36700000000002,0,0
0.741,0.913,9.0,-7.369,1.0,0.0505,0.107,1.13e-06,0.322,0.932,106.016,0,0
0.6779999999999999,0.5870000000000001,0.0,-7.273,1.0,0.0482,0.00951,0.0,0.0995,0.5710000000000001,155.22899999999996,0,0
0.6409999999999999,0.955,7.0,-3.551,1.0,0.145,0.00613,0.008879999999999999,0.0645,0.0948,128.023,0,0
0.7909999999999999,0.584,7.0,-11.344,1.0,0.147,0.298,1.04e-06,0.279,0.389,99.912,0,0
0.313,0.957,2.0,-6.259,1.0,0.0588,2.1e-05,0.0487,0.16899999999999998,0.374,137.797,0,1
0.742,0.875,7.0,-3.996,1.0,0.0619,0.417,0.919,0.315,0.961,126.74,0,0
0.589,0.768,9.0,-11.493,1.0,0.0417,0.104,0.0,0.0897,0.6940000000000001,109.127,0,0
0.804,0.8029999999999999,2.0,-7.1789999999999985,1.0,0.0463,0.506,7.79e-06,0.0769,0.836,102.603,0,0
0.75,0.944,1.0,-5.5120000000000005,1.0,0.0778,0.000261,0.7509999999999999,0.327,0.353,139.987,0,0
0.607,0.923,1.0,-6.777,1.0,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819,0,0
0.731,0.911,10.0,-2.806,0.0,0.106,0.00435,1.22e-06,0.0615,0.773,99.997,0,0
0.547,0.58,2.0,-13.415,0.0,0.0293,0.23,0.00877,0.0569,0.505,109.827,0,0
0.637,0.6509999999999999,0.0,-5.587999999999999,1.0,0.0406,0.758,0.0,0.273,0.938,76.275,0,0
0.574,0.326,9.0,-17.788,1.0,0.0377,0.0409,0.00273,0.972,0.248,122.448,0,0
0.667,0.28300000000000003,3.0,-14.421,1.0,0.0406,0.912,0.000399,0.118,0.8540000000000001,165.305,0,0
0.284,0.948,0.0,-12.116,1.0,0.135,0.0008039999999999999,2.67e-05,0.615,0.175,143.67,0,0
0.78,0.7829999999999999,5.0,-3.353,0.0,0.0686,0.00172,4.15e-05,0.129,0.7070000000000001,122.519,0,0
0.43,0.857,7.0,-4.459,1.0,0.0512,2.32e-05,3.84e-05,0.0372,0.377,168.055,0,0
0.579,0.0372,3.0,-17.777,1.0,0.0705,0.982,9.4e-05,0.307,0.435,178.487,0,0
0.652,0.488,9.0,-11.287,1.0,0.0889,0.0948,4.74e-06,0.0737,0.906,150.115,0,0
0.654,0.68,9.0,-4.555,1.0,0.128,0.244,0.0279,0.0491,0.964,73.834,0,0
0.574,0.988,9.0,-6.3679999999999986,0.0,0.0378,0.000128,0.417,0.309,0.421,141.957,0,0
0.638,0.905,1.0,-7.127999999999999,1.0,0.0418,0.32299999999999995,0.0,0.0477,0.8390000000000001,112.454,0,0
0.7509999999999999,0.7979999999999999,7.0,-7.024,1.0,0.0455,0.57,0.5479999999999999,0.0799,0.973,118.333,0,0
0.526,0.389,8.0,-7.527,1.0,0.0362,0.411,0.0,0.0957,0.41,133.332,0,0
0.634,0.474,11.0,-9.163,0.0,0.0359,0.6779999999999999,2.14e-05,0.664,0.635,114.805,0,0
0.35200000000000004,0.394,9.0,-19.176,0.0,0.081,0.624,0.29600000000000004,0.0879,0.155,66.452,0,0
0.5579999999999999,0.468,8.0,-7.193,1.0,0.046,0.373,7.56e-06,0.045,0.65,79.062,0,0
0.5589999999999999,0.481,7.0,-16.805999999999994,1.0,0.0445,0.794,0.946,0.0607,0.93,136.935,0,0
0.446,0.6920000000000001,2.0,-5.797999999999999,0.0,0.0391,0.0389,2.81e-05,0.696,0.215,87.96799999999998,0,0
0.625,0.642,7.0,-8.148,0.0,0.0764,0.369,6.7e-06,0.131,0.948,162.964,0,0
0.429,0.949,0.0,-5.823,1.0,0.555,0.366,0.0005549999999999999,0.939,0.505,173.22299999999996,0,0
0.5720000000000001,0.439,6.0,-6.772,1.0,0.0251,0.42,9.59e-05,0.106,0.123,91.05,0,0
0.539,0.0367,10.0,-19.404,1.0,0.0426,0.982,1.1e-05,0.093,0.245,110.237,0,0
0.608,0.722,2.0,-11.182,1.0,0.0303,0.0402,0.695,0.181,0.573,129.871,0,0
0.4,0.379,9.0,-15.604,0.0,0.0373,0.338,0.0953,0.268,0.312,90.797,0,0
0.506,0.525,3.0,-8.734,1.0,0.0341,0.466,0.973,0.114,0.726,78.97399999999998,0,0
0.3,0.44,11.0,-8.174,1.0,0.0363,0.902,2.01e-06,0.331,0.334,106.421,0,0
0.758,0.759,1.0,-11.387,0.0,0.0557,0.00218,0.00175,0.0604,0.7490000000000001,104.184,0,0
0.602,0.763,11.0,-8.645,0.0,0.0543,0.00207,0.0,0.311,0.705,102.028,0,0
0.652,0.9,8.0,-4.867,1.0,0.0748,0.0257,0.000148,0.48,0.5770000000000001,127.985,0,0
0.314,0.978,9.0,-3.783,1.0,0.17800000000000002,0.000136,0.265,0.36,0.14400000000000002,110.049,0,0
0.772,0.49,5.0,-10.355,0.0,0.0393,0.183,0.5770000000000001,0.354,0.599,84.007,0,0
0.639,0.546,2.0,-5.832000000000002,1.0,0.031,0.156,0.0,0.0685,0.58,135.937,0,0
0.654,0.6679999999999999,10.0,-12.762,0.0,0.0805,0.932,0.0231,0.273,0.488,100.407,0,0
0.575,0.8340000000000001,11.0,-10.753,1.0,0.775,0.644,8.6e-05,0.384,0.504,86.889,0,0
0.617,0.41,5.0,-11.44,0.0,0.0257,0.627,0.00926,0.156,0.349,94.921,0,0
0.423,0.339,2.0,-8.28,1.0,0.0253,0.0917,9.43e-05,0.0913,0.17600000000000002,80.067,0,0
